testing batch,Total Ideal Compounds,Low Error Count,Discovery Yield,Standardized Discovery Yield,Target,Variable,Method,evalt
1,21.0,14.0,0.6666666666666666,2.5396825396825395,target_CHEMBL240,logp,RF,sorted_fcv
2,37.0,23.0,0.6216216216216216,1.3440467494521549,target_CHEMBL240,logp,RF,sorted_fcv
3,24.0,8.0,0.3333333333333333,1.1111111111111112,target_CHEMBL240,logp,RF,sorted_fcv
4,43.0,18.0,0.4186046511627907,0.7787993510005409,target_CHEMBL240,logp,RF,sorted_fcv
5,44.0,23.0,0.5227272727272727,0.9504132231404958,target_CHEMBL240,logp,RF,sorted_fcv
6,50.0,21.0,0.42,0.672,target_CHEMBL240,logp,RF,sorted_fcv
7,62.0,39.0,0.6290322580645161,0.8116545265348595,target_CHEMBL240,logp,RF,sorted_fcv
8,67.0,48.0,0.7164179104477612,0.8554243706838939,target_CHEMBL240,logp,RF,sorted_fcv
9,80.0,29.0,0.3625,0.3625,target_CHEMBL240,logp,RF,sorted_fcv
1,21.0,12.0,0.5714285714285714,2.1768707482993195,target_CHEMBL240,logp,xgboost,sorted_fcv
2,37.0,21.0,0.5675675675675675,1.227173119065011,target_CHEMBL240,logp,xgboost,sorted_fcv
3,24.0,9.0,0.375,1.25,target_CHEMBL240,logp,xgboost,sorted_fcv
4,43.0,20.0,0.4651162790697674,0.8653326122228231,target_CHEMBL240,logp,xgboost,sorted_fcv
5,44.0,20.0,0.4545454545454545,0.8264462809917354,target_CHEMBL240,logp,xgboost,sorted_fcv
6,50.0,17.0,0.34,0.544,target_CHEMBL240,logp,xgboost,sorted_fcv
7,62.0,32.0,0.5161290322580645,0.6659729448491155,target_CHEMBL240,logp,xgboost,sorted_fcv
8,67.0,38.0,0.5671641791044776,0.6772109601247492,target_CHEMBL240,logp,xgboost,sorted_fcv
9,80.0,23.0,0.2875,0.2875,target_CHEMBL240,logp,xgboost,sorted_fcv
1,21.0,11.0,0.5238095238095238,1.9954648526077097,target_CHEMBL240,logp,MLP,sorted_fcv
2,37.0,31.0,0.8378378378378378,1.8115412710007304,target_CHEMBL240,logp,MLP,sorted_fcv
3,24.0,19.0,0.7916666666666666,2.638888888888889,target_CHEMBL240,logp,MLP,sorted_fcv
4,43.0,27.0,0.627906976744186,1.1681990265008113,target_CHEMBL240,logp,MLP,sorted_fcv
5,44.0,26.0,0.5909090909090909,1.0743801652892562,target_CHEMBL240,logp,MLP,sorted_fcv
6,50.0,23.0,0.46,0.7360000000000001,target_CHEMBL240,logp,MLP,sorted_fcv
7,62.0,40.0,0.6451612903225806,0.8324661810613944,target_CHEMBL240,logp,MLP,sorted_fcv
8,67.0,41.0,0.6119402985074627,0.7306749832924927,target_CHEMBL240,logp,MLP,sorted_fcv
9,80.0,41.0,0.5125,0.5125,target_CHEMBL240,logp,MLP,sorted_fcv
1,105.0,59.0,0.5619047619047619,0.5619047619047619,target_CHEMBL260,logp,RF,sorted_fcv
2,91.0,58.0,0.6373626373626373,0.7354184277261199,target_CHEMBL260,logp,RF,sorted_fcv
3,90.0,62.0,0.6888888888888889,0.8037037037037037,target_CHEMBL260,logp,RF,sorted_fcv
4,89.0,60.0,0.6741573033707865,0.7953541219542987,target_CHEMBL260,logp,RF,sorted_fcv
5,96.0,65.0,0.6770833333333334,0.7405598958333334,target_CHEMBL260,logp,RF,sorted_fcv
6,90.0,55.0,0.6111111111111112,0.712962962962963,target_CHEMBL260,logp,RF,sorted_fcv
7,93.0,62.0,0.6666666666666666,0.7526881720430108,target_CHEMBL260,logp,RF,sorted_fcv
8,86.0,50.0,0.5813953488372093,0.7098431584640347,target_CHEMBL260,logp,RF,sorted_fcv
9,78.0,40.0,0.5128205128205128,0.6903353057199211,target_CHEMBL260,logp,RF,sorted_fcv
1,105.0,56.0,0.5333333333333333,0.5333333333333333,target_CHEMBL260,logp,xgboost,sorted_fcv
2,91.0,53.0,0.5824175824175825,0.6720202874049028,target_CHEMBL260,logp,xgboost,sorted_fcv
3,90.0,56.0,0.6222222222222222,0.725925925925926,target_CHEMBL260,logp,xgboost,sorted_fcv
4,89.0,59.0,0.6629213483146067,0.782098219921727,target_CHEMBL260,logp,xgboost,sorted_fcv
5,96.0,61.0,0.6354166666666666,0.6949869791666666,target_CHEMBL260,logp,xgboost,sorted_fcv
6,90.0,59.0,0.6555555555555556,0.7648148148148148,target_CHEMBL260,logp,xgboost,sorted_fcv
7,93.0,62.0,0.6666666666666666,0.7526881720430108,target_CHEMBL260,logp,xgboost,sorted_fcv
8,86.0,49.0,0.5697674418604651,0.6956462952947539,target_CHEMBL260,logp,xgboost,sorted_fcv
9,78.0,37.0,0.4743589743589743,0.638560157790927,target_CHEMBL260,logp,xgboost,sorted_fcv
1,105.0,42.0,0.4,0.4,target_CHEMBL260,logp,MLP,sorted_fcv
2,91.0,40.0,0.4395604395604395,0.5071851225697379,target_CHEMBL260,logp,MLP,sorted_fcv
3,90.0,41.0,0.4555555555555555,0.5314814814814816,target_CHEMBL260,logp,MLP,sorted_fcv
4,89.0,37.0,0.4157303370786517,0.4904683752051509,target_CHEMBL260,logp,MLP,sorted_fcv
5,96.0,53.0,0.5520833333333334,0.6038411458333334,target_CHEMBL260,logp,MLP,sorted_fcv
6,90.0,47.0,0.5222222222222223,0.6092592592592594,target_CHEMBL260,logp,MLP,sorted_fcv
7,93.0,48.0,0.5161290322580645,0.5827263267429761,target_CHEMBL260,logp,MLP,sorted_fcv
8,86.0,46.0,0.5348837209302325,0.6530557057869117,target_CHEMBL260,logp,MLP,sorted_fcv
9,78.0,30.0,0.3846153846153846,0.5177514792899409,target_CHEMBL260,logp,MLP,sorted_fcv
1,105.0,64.0,0.6095238095238096,0.6095238095238096,target_CHEMBL279,logp,RF,sorted_fcv
2,84.0,48.0,0.5714285714285714,0.7142857142857142,target_CHEMBL279,logp,RF,sorted_fcv
3,96.0,54.0,0.5625,0.615234375,target_CHEMBL279,logp,RF,sorted_fcv
4,82.0,37.0,0.4512195121951219,0.5777810826888757,target_CHEMBL279,logp,RF,sorted_fcv
5,73.0,40.0,0.547945205479452,0.7881403640457871,target_CHEMBL279,logp,RF,sorted_fcv
6,69.0,38.0,0.5507246376811594,0.8380592312539383,target_CHEMBL279,logp,RF,sorted_fcv
7,71.0,36.0,0.5070422535211268,0.7498512199960325,target_CHEMBL279,logp,RF,sorted_fcv
8,78.0,44.0,0.5641025641025641,0.7593688362919133,target_CHEMBL279,logp,RF,sorted_fcv
9,93.0,60.0,0.6451612903225806,0.7284079084287202,target_CHEMBL279,logp,RF,sorted_fcv
1,105.0,58.0,0.5523809523809524,0.5523809523809524,target_CHEMBL279,logp,xgboost,sorted_fcv
2,84.0,51.0,0.6071428571428571,0.7589285714285714,target_CHEMBL279,logp,xgboost,sorted_fcv
3,96.0,48.0,0.5,0.546875,target_CHEMBL279,logp,xgboost,sorted_fcv
4,82.0,38.0,0.4634146341463415,0.5933967876264129,target_CHEMBL279,logp,xgboost,sorted_fcv
5,73.0,39.0,0.5342465753424658,0.7684368549446425,target_CHEMBL279,logp,xgboost,sorted_fcv
6,69.0,42.0,0.6086956521739131,0.9262759924385634,target_CHEMBL279,logp,xgboost,sorted_fcv
7,71.0,32.0,0.4507042253521127,0.6665344177742512,target_CHEMBL279,logp,xgboost,sorted_fcv
8,78.0,40.0,0.5128205128205128,0.6903353057199211,target_CHEMBL279,logp,xgboost,sorted_fcv
9,93.0,52.0,0.5591397849462365,0.6312868539715574,target_CHEMBL279,logp,xgboost,sorted_fcv
1,105.0,31.0,0.2952380952380952,0.2952380952380952,target_CHEMBL279,logp,MLP,sorted_fcv
2,84.0,30.0,0.3571428571428571,0.4464285714285714,target_CHEMBL279,logp,MLP,sorted_fcv
3,96.0,35.0,0.3645833333333333,0.3987630208333333,target_CHEMBL279,logp,MLP,sorted_fcv
4,82.0,34.0,0.4146341463414634,0.5309339678762641,target_CHEMBL279,logp,MLP,sorted_fcv
5,73.0,32.0,0.4383561643835616,0.6305122912366297,target_CHEMBL279,logp,MLP,sorted_fcv
6,69.0,32.0,0.463768115942029,0.7057340894770007,target_CHEMBL279,logp,MLP,sorted_fcv
7,71.0,30.0,0.4225352112676056,0.6248760166633605,target_CHEMBL279,logp,MLP,sorted_fcv
8,78.0,25.0,0.3205128205128205,0.4314595660749508,target_CHEMBL279,logp,MLP,sorted_fcv
9,93.0,44.0,0.4731182795698925,0.5341657995143948,target_CHEMBL279,logp,MLP,sorted_fcv
1,39.0,26.0,0.6666666666666666,0.9743589743589742,target_CHEMBL240,,RF,unsorted_fcv
2,57.0,39.0,0.6842105263157895,0.6842105263157895,target_CHEMBL240,,RF,unsorted_fcv
3,49.0,31.0,0.6326530612244898,0.7359433569346105,target_CHEMBL240,,RF,unsorted_fcv
4,48.0,21.0,0.4375,0.51953125,target_CHEMBL240,,RF,unsorted_fcv
5,33.0,20.0,0.6060606060606061,1.0468319559228652,target_CHEMBL240,,RF,unsorted_fcv
6,28.0,19.0,0.6785714285714286,1.381377551020408,target_CHEMBL240,,RF,unsorted_fcv
7,51.0,37.0,0.7254901960784313,0.8108419838523645,target_CHEMBL240,,RF,unsorted_fcv
8,55.0,44.0,0.8,0.8290909090909091,target_CHEMBL240,,RF,unsorted_fcv
9,45.0,27.0,0.6,0.7599999999999999,target_CHEMBL240,,RF,unsorted_fcv
1,39.0,23.0,0.5897435897435898,0.8619329388560157,target_CHEMBL240,,xgboost,unsorted_fcv
2,57.0,42.0,0.7368421052631579,0.7368421052631579,target_CHEMBL240,,xgboost,unsorted_fcv
3,49.0,30.0,0.6122448979591837,0.7122032486463973,target_CHEMBL240,,xgboost,unsorted_fcv
4,48.0,32.0,0.6666666666666666,0.7916666666666666,target_CHEMBL240,,xgboost,unsorted_fcv
5,33.0,19.0,0.5757575757575758,0.9944903581267218,target_CHEMBL240,,xgboost,unsorted_fcv
6,28.0,18.0,0.6428571428571429,1.308673469387755,target_CHEMBL240,,xgboost,unsorted_fcv
7,51.0,39.0,0.7647058823529411,0.8546712802768166,target_CHEMBL240,,xgboost,unsorted_fcv
8,55.0,39.0,0.7090909090909091,0.7348760330578512,target_CHEMBL240,,xgboost,unsorted_fcv
9,45.0,26.0,0.5777777777777777,0.7318518518518518,target_CHEMBL240,,xgboost,unsorted_fcv
1,39.0,15.0,0.3846153846153846,0.5621301775147929,target_CHEMBL240,,MLP,unsorted_fcv
2,57.0,41.0,0.7192982456140351,0.7192982456140351,target_CHEMBL240,,MLP,unsorted_fcv
3,49.0,28.0,0.5714285714285714,0.6647230320699707,target_CHEMBL240,,MLP,unsorted_fcv
4,48.0,26.0,0.5416666666666666,0.6432291666666666,target_CHEMBL240,,MLP,unsorted_fcv
5,33.0,25.0,0.7575757575757576,1.3085399449035813,target_CHEMBL240,,MLP,unsorted_fcv
6,28.0,22.0,0.7857142857142857,1.5994897959183672,target_CHEMBL240,,MLP,unsorted_fcv
7,51.0,34.0,0.6666666666666666,0.7450980392156863,target_CHEMBL240,,MLP,unsorted_fcv
8,55.0,33.0,0.6,0.6218181818181818,target_CHEMBL240,,MLP,unsorted_fcv
9,45.0,29.0,0.6444444444444445,0.8162962962962963,target_CHEMBL240,,MLP,unsorted_fcv
1,99.0,61.0,0.6161616161616161,0.6223854708703194,target_CHEMBL260,,RF,unsorted_fcv
2,83.0,57.0,0.6867469879518072,0.8274060095804907,target_CHEMBL260,,RF,unsorted_fcv
3,97.0,66.0,0.6804123711340206,0.7014560527154852,target_CHEMBL260,,RF,unsorted_fcv
4,90.0,55.0,0.6111111111111112,0.6790123456790125,target_CHEMBL260,,RF,unsorted_fcv
5,97.0,67.0,0.6907216494845361,0.7120841747263258,target_CHEMBL260,,RF,unsorted_fcv
6,94.0,65.0,0.6914893617021277,0.7356269805341784,target_CHEMBL260,,RF,unsorted_fcv
7,94.0,67.0,0.7127659574468085,0.7582616568583069,target_CHEMBL260,,RF,unsorted_fcv
8,100.0,68.0,0.68,0.68,target_CHEMBL260,,RF,unsorted_fcv
9,94.0,69.0,0.7340425531914894,0.7808963331824355,target_CHEMBL260,,RF,unsorted_fcv
1,99.0,57.0,0.5757575757575758,0.5815733088460362,target_CHEMBL260,,xgboost,unsorted_fcv
2,83.0,62.0,0.7469879518072289,0.8999854841050952,target_CHEMBL260,,xgboost,unsorted_fcv
3,97.0,64.0,0.6597938144329897,0.6801998086938037,target_CHEMBL260,,xgboost,unsorted_fcv
4,90.0,56.0,0.6222222222222222,0.6913580246913581,target_CHEMBL260,,xgboost,unsorted_fcv
5,97.0,73.0,0.7525773195876289,0.7758529067913699,target_CHEMBL260,,xgboost,unsorted_fcv
6,94.0,64.0,0.6808510638297872,0.724309642372114,target_CHEMBL260,,xgboost,unsorted_fcv
7,94.0,64.0,0.6808510638297872,0.724309642372114,target_CHEMBL260,,xgboost,unsorted_fcv
8,100.0,61.0,0.61,0.61,target_CHEMBL260,,xgboost,unsorted_fcv
9,94.0,70.0,0.7446808510638298,0.7922136713444997,target_CHEMBL260,,xgboost,unsorted_fcv
1,99.0,39.0,0.3939393939393939,0.3979185797367616,target_CHEMBL260,,MLP,unsorted_fcv
2,83.0,34.0,0.4096385542168674,0.4935404267673102,target_CHEMBL260,,MLP,unsorted_fcv
3,97.0,55.0,0.5670103092783505,0.5845467105962375,target_CHEMBL260,,MLP,unsorted_fcv
4,90.0,54.0,0.6,0.6666666666666666,target_CHEMBL260,,MLP,unsorted_fcv
5,97.0,64.0,0.6597938144329897,0.6801998086938037,target_CHEMBL260,,MLP,unsorted_fcv
6,94.0,58.0,0.6170212765957447,0.6564056133997284,target_CHEMBL260,,MLP,unsorted_fcv
7,94.0,59.0,0.6276595744680851,0.6677229515617926,target_CHEMBL260,,MLP,unsorted_fcv
8,100.0,60.0,0.6,0.6,target_CHEMBL260,,MLP,unsorted_fcv
9,94.0,64.0,0.6808510638297872,0.724309642372114,target_CHEMBL260,,MLP,unsorted_fcv
1,94.0,41.0,0.4361702127659574,0.4361702127659574,target_CHEMBL279,,RF,unsorted_fcv
2,82.0,54.0,0.6585365853658537,0.7549077929803688,target_CHEMBL279,,RF,unsorted_fcv
3,85.0,50.0,0.5882352941176471,0.6505190311418686,target_CHEMBL279,,RF,unsorted_fcv
4,81.0,45.0,0.5555555555555556,0.6447187928669411,target_CHEMBL279,,RF,unsorted_fcv
5,88.0,57.0,0.6477272727272727,0.6918904958677685,target_CHEMBL279,,RF,unsorted_fcv
6,87.0,53.0,0.6091954022988506,0.6582111243228961,target_CHEMBL279,,RF,unsorted_fcv
7,86.0,49.0,0.5697674418604651,0.6227690643591131,target_CHEMBL279,,RF,unsorted_fcv
8,82.0,47.0,0.573170731707317,0.6570493753718024,target_CHEMBL279,,RF,unsorted_fcv
9,85.0,57.0,0.6705882352941176,0.7415916955017301,target_CHEMBL279,,RF,unsorted_fcv
1,94.0,40.0,0.425531914893617,0.425531914893617,target_CHEMBL279,,xgboost,unsorted_fcv
2,82.0,49.0,0.5975609756097561,0.6850089232599642,target_CHEMBL279,,xgboost,unsorted_fcv
3,85.0,46.0,0.5411764705882353,0.5984775086505191,target_CHEMBL279,,xgboost,unsorted_fcv
4,81.0,48.0,0.5925925925925926,0.6877000457247371,target_CHEMBL279,,xgboost,unsorted_fcv
5,88.0,49.0,0.5568181818181818,0.5947830578512395,target_CHEMBL279,,xgboost,unsorted_fcv
6,87.0,53.0,0.6091954022988506,0.6582111243228961,target_CHEMBL279,,xgboost,unsorted_fcv
7,86.0,43.0,0.5,0.5465116279069767,target_CHEMBL279,,xgboost,unsorted_fcv
