testing batch,Total Ideal Compounds,Low Error Count,Discovery Yield,Standardized Discovery Yield,Target,Method,evalt
1,51.0,40.0,0.7843137254901961,0.845828527489427,target_CHEMBL240,RF,cv
2,41.0,31.0,0.7560975609756098,1.0142772159428912,target_CHEMBL240,RF,cv
3,55.0,40.0,0.7272727272727273,0.7272727272727273,target_CHEMBL240,RF,cv
4,52.0,36.0,0.6923076923076923,0.7322485207100592,target_CHEMBL240,RF,cv
5,51.0,42.0,0.8235294117647058,0.8881199538638984,target_CHEMBL240,RF,cv
6,40.0,28.0,0.7,0.9624999999999999,target_CHEMBL240,RF,cv
7,44.0,35.0,0.7954545454545454,0.9943181818181818,target_CHEMBL240,RF,cv
8,41.0,28.0,0.6829268292682927,0.9161213563355147,target_CHEMBL240,RF,cv
9,35.0,23.0,0.6571428571428571,1.0326530612244897,target_CHEMBL240,RF,cv
10,40.0,31.0,0.775,1.065625,target_CHEMBL240,RF,cv
1,51.0,37.0,0.7254901960784313,0.78239138792772,target_CHEMBL240,xgboost,cv
2,41.0,34.0,0.8292682926829268,1.1124330755502676,target_CHEMBL240,xgboost,cv
3,55.0,30.0,0.5454545454545454,0.5454545454545454,target_CHEMBL240,xgboost,cv
4,52.0,31.0,0.5961538461538461,0.6305473372781065,target_CHEMBL240,xgboost,cv
5,51.0,38.0,0.7450980392156863,0.8035371011149558,target_CHEMBL240,xgboost,cv
6,40.0,28.0,0.7,0.9624999999999999,target_CHEMBL240,xgboost,cv
7,44.0,38.0,0.8636363636363636,1.0795454545454546,target_CHEMBL240,xgboost,cv
8,41.0,26.0,0.6341463414634146,0.8506841165972636,target_CHEMBL240,xgboost,cv
9,35.0,24.0,0.6857142857142857,1.0775510204081633,target_CHEMBL240,xgboost,cv
10,40.0,32.0,0.8,1.1,target_CHEMBL240,xgboost,cv
1,51.0,40.0,0.7843137254901961,0.845828527489427,target_CHEMBL240,MLP,cv
2,41.0,30.0,0.7317073170731707,0.9815585960737656,target_CHEMBL240,MLP,cv
3,55.0,37.0,0.6727272727272727,0.6727272727272727,target_CHEMBL240,MLP,cv
4,52.0,35.0,0.6730769230769231,0.7119082840236687,target_CHEMBL240,MLP,cv
5,51.0,38.0,0.7450980392156863,0.8035371011149558,target_CHEMBL240,MLP,cv
6,40.0,27.0,0.675,0.9281250000000001,target_CHEMBL240,MLP,cv
7,44.0,30.0,0.6818181818181818,0.8522727272727272,target_CHEMBL240,MLP,cv
8,41.0,19.0,0.4634146341463415,0.6216537775133849,target_CHEMBL240,MLP,cv
9,35.0,23.0,0.6571428571428571,1.0326530612244897,target_CHEMBL240,MLP,cv
10,40.0,35.0,0.875,1.203125,target_CHEMBL240,MLP,cv
1,92.0,68.0,0.7391304347826086,0.8676748582230625,target_CHEMBL260,RF,cv
2,100.0,71.0,0.71,0.7668,target_CHEMBL260,RF,cv
3,91.0,64.0,0.7032967032967034,0.8346818017147688,target_CHEMBL260,RF,cv
4,89.0,73.0,0.8202247191011236,0.9953288726170939,target_CHEMBL260,RF,cv
5,83.0,60.0,0.7228915662650602,0.9406299898388736,target_CHEMBL260,RF,cv
6,108.0,79.0,0.7314814814814815,0.7314814814814815,target_CHEMBL260,RF,cv
7,95.0,70.0,0.7368421052631579,0.8376731301939058,target_CHEMBL260,RF,cv
8,92.0,64.0,0.6956521739130435,0.8166351606805293,target_CHEMBL260,RF,cv
9,104.0,78.0,0.75,0.778846153846154,target_CHEMBL260,RF,cv
10,87.0,71.0,0.8160919540229885,1.0130796670630202,target_CHEMBL260,RF,cv
1,92.0,67.0,0.7282608695652174,0.8549149338374292,target_CHEMBL260,xgboost,cv
2,100.0,73.0,0.73,0.7884,target_CHEMBL260,xgboost,cv
3,91.0,67.0,0.7362637362637363,0.8738075111701485,target_CHEMBL260,xgboost,cv
4,89.0,72.0,0.8089887640449438,0.9816942305264487,target_CHEMBL260,xgboost,cv
5,83.0,56.0,0.6746987951807228,0.8779213238496153,target_CHEMBL260,xgboost,cv
6,108.0,74.0,0.6851851851851852,0.6851851851851852,target_CHEMBL260,xgboost,cv
7,95.0,66.0,0.6947368421052632,0.7898060941828255,target_CHEMBL260,xgboost,cv
8,92.0,66.0,0.717391304347826,0.8421550094517959,target_CHEMBL260,xgboost,cv
9,104.0,74.0,0.7115384615384616,0.7389053254437871,target_CHEMBL260,xgboost,cv
10,87.0,69.0,0.7931034482758621,0.9845422116527943,target_CHEMBL260,xgboost,cv
1,92.0,63.0,0.6847826086956522,0.8038752362948961,target_CHEMBL260,MLP,cv
2,100.0,59.0,0.59,0.6372,target_CHEMBL260,MLP,cv
3,91.0,57.0,0.6263736263736264,0.7433884796522159,target_CHEMBL260,MLP,cv
4,89.0,64.0,0.7191011235955056,0.8726170938012877,target_CHEMBL260,MLP,cv
5,83.0,48.0,0.5783132530120482,0.7525039918710988,target_CHEMBL260,MLP,cv
6,108.0,62.0,0.5740740740740741,0.5740740740740741,target_CHEMBL260,MLP,cv
7,95.0,64.0,0.6736842105263158,0.7658725761772853,target_CHEMBL260,MLP,cv
8,92.0,63.0,0.6847826086956522,0.8038752362948961,target_CHEMBL260,MLP,cv
9,104.0,70.0,0.6730769230769231,0.6989644970414203,target_CHEMBL260,MLP,cv
10,87.0,58.0,0.6666666666666666,0.8275862068965517,target_CHEMBL260,MLP,cv
1,88.0,59.0,0.6704545454545454,0.7237861570247933,target_CHEMBL279,RF,cv
2,95.0,64.0,0.6736842105263158,0.6736842105263158,target_CHEMBL279,RF,cv
3,84.0,56.0,0.6666666666666666,0.753968253968254,target_CHEMBL279,RF,cv
4,86.0,56.0,0.6511627906976745,0.7193077339102217,target_CHEMBL279,RF,cv
5,65.0,39.0,0.6,0.8769230769230768,target_CHEMBL279,RF,cv
6,82.0,52.0,0.6341463414634146,0.734681737061273,target_CHEMBL279,RF,cv
7,86.0,60.0,0.6976744186046512,0.7706868577609519,target_CHEMBL279,RF,cv
8,89.0,69.0,0.7752808988764045,0.827547026890544,target_CHEMBL279,RF,cv
9,87.0,54.0,0.6206896551724138,0.6777645659928657,target_CHEMBL279,RF,cv
10,86.0,61.0,0.7093023255813954,0.7835316387236344,target_CHEMBL279,RF,cv
1,88.0,45.0,0.5113636363636364,0.5520402892561983,target_CHEMBL279,xgboost,cv
2,95.0,59.0,0.6210526315789474,0.6210526315789474,target_CHEMBL279,xgboost,cv
3,84.0,44.0,0.5238095238095238,0.5924036281179138,target_CHEMBL279,xgboost,cv
4,86.0,49.0,0.5697674418604651,0.629394267171444,target_CHEMBL279,xgboost,cv
5,65.0,34.0,0.5230769230769231,0.7644970414201183,target_CHEMBL279,xgboost,cv
6,82.0,44.0,0.5365853658536586,0.6216537775133849,target_CHEMBL279,xgboost,cv
7,86.0,60.0,0.6976744186046512,0.7706868577609519,target_CHEMBL279,xgboost,cv
8,89.0,60.0,0.6741573033707865,0.7196061103396035,target_CHEMBL279,xgboost,cv
9,87.0,48.0,0.5517241379310345,0.6024573919936584,target_CHEMBL279,xgboost,cv
10,86.0,58.0,0.6744186046511628,0.7449972958355867,target_CHEMBL279,xgboost,cv
1,88.0,51.0,0.5795454545454546,0.6256456611570249,target_CHEMBL279,MLP,cv
2,95.0,54.0,0.5684210526315789,0.5684210526315789,target_CHEMBL279,MLP,cv
3,84.0,51.0,0.6071428571428571,0.6866496598639455,target_CHEMBL279,MLP,cv
4,86.0,55.0,0.6395348837209303,0.7064629529475392,target_CHEMBL279,MLP,cv
5,65.0,34.0,0.5230769230769231,0.7644970414201183,target_CHEMBL279,MLP,cv
