testing batch,Total Ideal Compounds,Low Error Count,Discovery Yield,Standardized Discovery Yield,Target,Method,evalt
1,20.0,5.0,0.25,0.7875,target_CHEMBL240,RF,scaffold_CV
2,27.0,20.0,0.7407407407407407,1.728395061728395,target_CHEMBL240,RF,scaffold_CV
3,58.0,39.0,0.6724137931034483,0.7303804994054698,target_CHEMBL240,RF,scaffold_CV
4,63.0,46.0,0.7301587301587301,0.7301587301587301,target_CHEMBL240,RF,scaffold_CV
5,36.0,20.0,0.5555555555555556,0.9722222222222223,target_CHEMBL240,RF,scaffold_CV
6,58.0,36.0,0.6206896551724138,0.6741973840665875,target_CHEMBL240,RF,scaffold_CV
7,49.0,32.0,0.6530612244897959,0.8396501457725948,target_CHEMBL240,RF,scaffold_CV
8,46.0,26.0,0.5652173913043478,0.774102079395085,target_CHEMBL240,RF,scaffold_CV
9,44.0,22.0,0.5,0.7159090909090909,target_CHEMBL240,RF,scaffold_CV
10,49.0,31.0,0.6326530612244898,0.8134110787172013,target_CHEMBL240,RF,scaffold_CV
1,20.0,8.0,0.4,1.26,target_CHEMBL240,xgboost,scaffold_CV
2,27.0,16.0,0.5925925925925926,1.382716049382716,target_CHEMBL240,xgboost,scaffold_CV
3,58.0,31.0,0.5344827586206896,0.5805588585017836,target_CHEMBL240,xgboost,scaffold_CV
4,63.0,40.0,0.6349206349206349,0.6349206349206349,target_CHEMBL240,xgboost,scaffold_CV
5,36.0,17.0,0.4722222222222222,0.8263888888888888,target_CHEMBL240,xgboost,scaffold_CV
6,58.0,41.0,0.7068965517241379,0.7678359096313913,target_CHEMBL240,xgboost,scaffold_CV
7,49.0,30.0,0.6122448979591837,0.7871720116618076,target_CHEMBL240,xgboost,scaffold_CV
8,46.0,23.0,0.5,0.6847826086956522,target_CHEMBL240,xgboost,scaffold_CV
9,44.0,25.0,0.5681818181818182,0.8135330578512397,target_CHEMBL240,xgboost,scaffold_CV
10,49.0,36.0,0.7346938775510204,0.9446064139941692,target_CHEMBL240,xgboost,scaffold_CV
1,20.0,10.0,0.5,1.575,target_CHEMBL240,MLP,scaffold_CV
2,27.0,17.0,0.6296296296296297,1.4691358024691359,target_CHEMBL240,MLP,scaffold_CV
3,58.0,32.0,0.5517241379310345,0.5992865636147444,target_CHEMBL240,MLP,scaffold_CV
4,63.0,34.0,0.5396825396825397,0.5396825396825397,target_CHEMBL240,MLP,scaffold_CV
5,36.0,21.0,0.5833333333333334,1.0208333333333335,target_CHEMBL240,MLP,scaffold_CV
6,58.0,44.0,0.7586206896551724,0.8240190249702735,target_CHEMBL240,MLP,scaffold_CV
7,49.0,26.0,0.5306122448979592,0.6822157434402333,target_CHEMBL240,MLP,scaffold_CV
8,46.0,25.0,0.5434782608695652,0.7443289224952742,target_CHEMBL240,MLP,scaffold_CV
9,44.0,24.0,0.5454545454545454,0.78099173553719,target_CHEMBL240,MLP,scaffold_CV
10,49.0,27.0,0.5510204081632653,0.7084548104956268,target_CHEMBL240,MLP,scaffold_CV
1,111.0,87.0,0.7837837837837838,0.7837837837837838,target_CHEMBL260,RF,scaffold_CV
2,55.0,32.0,0.5818181818181818,1.1742148760330577,target_CHEMBL260,RF,scaffold_CV
3,109.0,59.0,0.5412844036697247,0.5512162275902701,target_CHEMBL260,RF,scaffold_CV
4,106.0,71.0,0.6698113207547169,0.7014061943752226,target_CHEMBL260,RF,scaffold_CV
