testing batch,Total Ideal Compounds,Low Error Count,Discovery Yield,Standardized Discovery Yield,Target,Variable,Method,evalt
1,21.0,11.0,0.5238095238095238,1.9954648526077097,target_CHEMBL240,logp,RF,sorted_fcv
2,37.0,18.0,0.4864864864864865,1.0518626734842953,target_CHEMBL240,logp,RF,sorted_fcv
3,24.0,9.0,0.375,1.25,target_CHEMBL240,logp,RF,sorted_fcv
4,43.0,18.0,0.4186046511627907,0.7787993510005409,target_CHEMBL240,logp,RF,sorted_fcv
5,44.0,17.0,0.38636363636363635,0.7024793388429752,target_CHEMBL240,logp,RF,sorted_fcv
6,50.0,18.0,0.36,0.576,target_CHEMBL240,logp,RF,sorted_fcv
7,62.0,36.0,0.5806451612903226,0.7492195629552549,target_CHEMBL240,logp,RF,sorted_fcv
8,67.0,49.0,0.7313432835820896,0.8732457117398084,target_CHEMBL240,logp,RF,sorted_fcv
9,80.0,30.0,0.375,0.375,target_CHEMBL240,logp,RF,sorted_fcv
1,21.0,14.0,0.6666666666666666,2.5396825396825395,target_CHEMBL240,logp,xgboost,sorted_fcv
2,37.0,20.0,0.5405405405405406,1.1687363038714391,target_CHEMBL240,logp,xgboost,sorted_fcv
3,24.0,6.0,0.25,0.8333333333333334,target_CHEMBL240,logp,xgboost,sorted_fcv
4,43.0,23.0,0.5348837209302325,0.9951325040562465,target_CHEMBL240,logp,xgboost,sorted_fcv
5,44.0,18.0,0.4090909090909091,0.7438016528925621,target_CHEMBL240,logp,xgboost,sorted_fcv
6,50.0,13.0,0.26,0.41600000000000004,target_CHEMBL240,logp,xgboost,sorted_fcv
7,62.0,33.0,0.532258064516129,0.6867845993756503,target_CHEMBL240,logp,xgboost,sorted_fcv
8,67.0,36.0,0.5373134328358209,0.6415682780129204,target_CHEMBL240,logp,xgboost,sorted_fcv
9,80.0,28.0,0.35,0.35,target_CHEMBL240,logp,xgboost,sorted_fcv
1,21.0,16.0,0.7619047619047619,2.902494331065759,target_CHEMBL240,logp,MLP,sorted_fcv
2,37.0,30.0,0.8108108108108109,1.7531044558071587,target_CHEMBL240,logp,MLP,sorted_fcv
3,24.0,14.0,0.5833333333333334,1.9444444444444446,target_CHEMBL240,logp,MLP,sorted_fcv
