testing batch,Total Ideal Compounds,Low Error Count,Discovery Yield,Standardized Discovery Yield,Target,Method,evalt
1,39.0,26.0,0.6666666666666666,0.9743589743589742,target_CHEMBL240,RF,unsorted_fcv
2,57.0,39.0,0.6842105263157895,0.6842105263157895,target_CHEMBL240,RF,unsorted_fcv
3,49.0,31.0,0.6326530612244898,0.7359433569346105,target_CHEMBL240,RF,unsorted_fcv
4,48.0,21.0,0.4375,0.51953125,target_CHEMBL240,RF,unsorted_fcv
5,33.0,20.0,0.6060606060606061,1.0468319559228652,target_CHEMBL240,RF,unsorted_fcv
6,28.0,19.0,0.6785714285714286,1.381377551020408,target_CHEMBL240,RF,unsorted_fcv
7,51.0,37.0,0.7254901960784313,0.8108419838523645,target_CHEMBL240,RF,unsorted_fcv
8,55.0,44.0,0.8,0.8290909090909091,target_CHEMBL240,RF,unsorted_fcv
9,45.0,27.0,0.6,0.7599999999999999,target_CHEMBL240,RF,unsorted_fcv
1,39.0,23.0,0.5897435897435898,0.8619329388560157,target_CHEMBL240,xgboost,unsorted_fcv
2,57.0,42.0,0.7368421052631579,0.7368421052631579,target_CHEMBL240,xgboost,unsorted_fcv
3,49.0,30.0,0.6122448979591837,0.7122032486463973,target_CHEMBL240,xgboost,unsorted_fcv
4,48.0,32.0,0.6666666666666666,0.7916666666666666,target_CHEMBL240,xgboost,unsorted_fcv
5,33.0,19.0,0.5757575757575758,0.9944903581267218,target_CHEMBL240,xgboost,unsorted_fcv
6,28.0,18.0,0.6428571428571429,1.308673469387755,target_CHEMBL240,xgboost,unsorted_fcv
7,51.0,39.0,0.7647058823529411,0.8546712802768166,target_CHEMBL240,xgboost,unsorted_fcv
8,55.0,39.0,0.7090909090909091,0.7348760330578512,target_CHEMBL240,xgboost,unsorted_fcv
9,45.0,26.0,0.5777777777777777,0.7318518518518518,target_CHEMBL240,xgboost,unsorted_fcv
1,39.0,15.0,0.38461538461538464,0.5621301775147929,target_CHEMBL240,MLP,unsorted_fcv
2,57.0,41.0,0.7192982456140351,0.7192982456140351,target_CHEMBL240,MLP,unsorted_fcv
