Target,Sorting_Var,Method,Testing Batch,RMSE,R2,evalt
target_CHEMBL240,None,RF,1,0.5889504002615621,0.6094606776762856,cv
target_CHEMBL240,None,RF,2,0.492308721375985,0.7831355232838868,cv
target_CHEMBL240,None,RF,3,0.4511022190850895,0.753984686716043,cv
target_CHEMBL240,None,RF,4,0.49442966726625126,0.7530293918181792,cv
target_CHEMBL240,None,RF,5,0.5604291657660847,0.7894362937898157,cv
target_CHEMBL240,None,RF,6,0.6140196064808167,0.6197953859109036,cv
target_CHEMBL240,None,RF,7,0.6073037926013108,0.7206902409089657,cv
target_CHEMBL240,None,RF,8,0.616578435901749,0.6057654592560696,cv
target_CHEMBL240,None,RF,9,0.6312014625293676,0.6453601396757966,cv
target_CHEMBL240,None,RF,10,0.4916726293868604,0.7458946327706168,cv
target_CHEMBL240,None,xgboost,1,0.5662359488762828,0.6390041559929776,cv
target_CHEMBL240,None,xgboost,2,0.4572634279657845,0.8129118436531833,cv
target_CHEMBL240,None,xgboost,3,0.5063717248055251,0.6900075560213721,cv
target_CHEMBL240,None,xgboost,4,0.4878837569003214,0.7595255465498634,cv
target_CHEMBL240,None,xgboost,5,0.5338510820426949,0.8089344831618697,cv
target_CHEMBL240,None,xgboost,6,0.6394226803118253,0.5876851484129326,cv
target_CHEMBL240,None,xgboost,7,0.5571057327176204,0.7649558867941748,cv
target_CHEMBL240,None,xgboost,8,0.6669340388566354,0.5387421444215501,cv
target_CHEMBL240,None,xgboost,9,0.6032336454672196,0.6760912597350106,cv
target_CHEMBL240,None,xgboost,10,0.49782154561948927,0.7394991461913711,cv
target_CHEMBL240,None,MLP,1,0.5918019158800921,0.6056697815321024,cv
target_CHEMBL240,None,MLP,2,0.6136909276219665,0.6630132961156276,cv
target_CHEMBL240,None,MLP,3,0.6186481072495539,0.5372999027454817,cv
target_CHEMBL240,None,MLP,4,0.6709683523823413,0.545179218546477,cv
target_CHEMBL240,None,MLP,5,0.6483655031532729,0.7181734797638095,cv
target_CHEMBL240,None,MLP,6,0.7044701065656921,0.49953000719586604,cv
target_CHEMBL240,None,MLP,7,0.6482448197536199,0.6817618555885759,cv
target_CHEMBL240,None,MLP,8,0.7715918267556402,0.3826190196654947,cv
target_CHEMBL240,None,MLP,9,0.7149865152889946,0.5449624290930057,cv
target_CHEMBL240,None,MLP,10,0.5875297852558727,0.6371546597725494,cv
target_CHEMBL260,None,RF,1,0.5746690421934659,0.8008837683616232,cv
target_CHEMBL260,None,RF,2,0.5859792217590428,0.7133373188107089,cv
target_CHEMBL260,None,RF,3,0.5777155239848473,0.754800089900393,cv
target_CHEMBL260,None,RF,4,0.5265166946282159,0.794919001010512,cv
target_CHEMBL260,None,RF,5,0.6569035609841387,0.7061466701702945,cv
target_CHEMBL260,None,RF,6,0.5481555601003837,0.7288899975193828,cv
target_CHEMBL260,None,RF,7,0.6061723726625209,0.7400693668541647,cv
target_CHEMBL260,None,RF,8,0.5988459755597745,0.7461998221823551,cv
target_CHEMBL260,None,RF,9,0.47479629897171866,0.7609689492233653,cv
target_CHEMBL260,None,RF,10,0.5108140272963915,0.823475278190225,cv
target_CHEMBL260,None,xgboost,1,0.5931979180103694,0.7878366830198852,cv
target_CHEMBL260,None,xgboost,2,0.6003278805724378,0.6991266288400053,cv
target_CHEMBL260,None,xgboost,3,0.6056379373957461,0.730525065821117,cv
target_CHEMBL260,None,xgboost,4,0.49935783400621253,0.8155303741229074,cv
target_CHEMBL260,None,xgboost,5,0.6852524158213038,0.680236760800364,cv
target_CHEMBL260,None,xgboost,6,0.5889336923326626,0.6870530704319489,cv
target_CHEMBL260,None,xgboost,7,0.6566582612841125,0.6949689765331353,cv
target_CHEMBL260,None,xgboost,8,0.6026602758332321,0.7429564068510057,cv
target_CHEMBL260,None,xgboost,9,0.494226910948035,0.7410043622872804,cv
target_CHEMBL260,None,xgboost,10,0.5486105315061072,0.7963857415679251,cv
target_CHEMBL260,None,MLP,1,0.6695943000606823,0.7296698057224584,cv
target_CHEMBL260,None,MLP,2,0.6904634947806206,0.6019953285410264,cv
target_CHEMBL260,None,MLP,3,0.7082789879258565,0.631446154357655,cv
target_CHEMBL260,None,MLP,4,0.5579041518827695,0.7697390359090229,cv
target_CHEMBL260,None,MLP,5,0.7238086946311675,0.6432409691560778,cv
target_CHEMBL260,None,MLP,6,0.6412616222992379,0.6289705415307076,cv
target_CHEMBL260,None,MLP,7,0.7193362065780131,0.6339595945100778,cv
