Target,Sorting_Var,Method,Testing Batch,RMSE,R2,evalt
target_CHEMBL240,None,RF,1,0.751019798387839,0.1664071847259535,unsorted_fcv
target_CHEMBL240,None,RF,2,0.673768956957703,0.10361958210375988,unsorted_fcv
target_CHEMBL240,None,RF,3,0.6587683456213046,0.3089862323378656,unsorted_fcv
target_CHEMBL240,None,RF,4,0.7194914715729944,0.668793287948005,unsorted_fcv
target_CHEMBL240,None,RF,5,0.7366612895731356,0.5369537525108068,unsorted_fcv
target_CHEMBL240,None,RF,6,0.5404947994698637,0.5347203993142924,unsorted_fcv
target_CHEMBL240,None,RF,7,0.6554108775514016,0.556208335269828,unsorted_fcv
target_CHEMBL240,None,RF,8,0.6103502411119346,0.8231952305163438,unsorted_fcv
target_CHEMBL240,None,RF,9,0.7330790616468321,0.5829715660517989,unsorted_fcv
target_CHEMBL240,None,xgboost,1,0.7078304978191297,0.25952613885647136,unsorted_fcv
target_CHEMBL240,None,xgboost,2,0.6799394805466727,0.08712590386171715,unsorted_fcv
target_CHEMBL240,None,xgboost,3,0.6320493075374792,0.3639032532336426,unsorted_fcv
target_CHEMBL240,None,xgboost,4,0.798626947312071,0.5919289845686182,unsorted_fcv
target_CHEMBL240,None,xgboost,5,0.7406845720208367,0.5318820780003568,unsorted_fcv
target_CHEMBL240,None,xgboost,6,0.5025794662822977,0.5977088723731795,unsorted_fcv
target_CHEMBL240,None,xgboost,7,0.6107004737587118,0.6146916993142787,unsorted_fcv
target_CHEMBL240,None,xgboost,8,0.6415696173491839,0.8046455478059747,unsorted_fcv
target_CHEMBL240,None,xgboost,9,0.6878987149707602,0.6327912400630322,unsorted_fcv
target_CHEMBL240,None,MLP,1,1.4948253588628326,-2.3024184682020055,unsorted_fcv
target_CHEMBL240,None,MLP,2,0.9165099619947673,-0.6586117784646974,unsorted_fcv
target_CHEMBL240,None,MLP,3,0.9650193267950661,-0.48283653240788427,unsorted_fcv
target_CHEMBL240,None,MLP,4,0.6958515981304108,0.6902002332021224,unsorted_fcv
target_CHEMBL240,None,MLP,5,0.9444767474762444,0.2388483174585042,unsorted_fcv
target_CHEMBL240,None,MLP,6,0.6051710806686929,0.41670627376417047,unsorted_fcv
target_CHEMBL240,None,MLP,7,0.8469834467133759,0.25885753675295453,unsorted_fcv
target_CHEMBL240,None,MLP,8,0.9153580854353779,0.6023346238949707,unsorted_fcv
target_CHEMBL240,None,MLP,9,0.8560859387833251,0.4312796555458531,unsorted_fcv
