Target,Variable,Method,Batch,evalt,Low Similarity Count,Novelty Error
target_CHEMBL240,None,RF,1,CV,2,0.8217000000000012
target_CHEMBL240,None,RF,2,CV,2,0.3398000000000003
target_CHEMBL240,None,RF,3,CV,1,0.08240000000000158
target_CHEMBL240,None,RF,4,CV,3,0.5279333333333328
target_CHEMBL240,None,RF,5,CV,3,0.7978000000000011
target_CHEMBL240,None,RF,6,CV,1,1.7729999999999997
target_CHEMBL240,None,RF,7,CV,2,0.2629999999999981
target_CHEMBL240,None,RF,8,CV,5,1.3018799999999988
target_CHEMBL240,None,RF,9,CV,4,0.9550999999999996
target_CHEMBL240,None,RF,10,CV,1,0.5476000000000001
target_CHEMBL240,None,xgboost,1,CV,2,0.8373599999999999
target_CHEMBL240,None,xgboost,2,CV,2,0.2838077499999998
target_CHEMBL240,None,xgboost,3,CV,1,0.05787869999999984
target_CHEMBL240,None,xgboost,4,CV,3,0.7322734333333333
target_CHEMBL240,None,xgboost,5,CV,3,0.5155336333333335
target_CHEMBL240,None,xgboost,6,CV,1,1.7353943000000003
target_CHEMBL240,None,xgboost,7,CV,2,0.41129654999999987
target_CHEMBL240,None,xgboost,8,CV,5,1.2715669
target_CHEMBL240,None,xgboost,9,CV,4,0.7471409999999998
target_CHEMBL240,None,xgboost,10,CV,1,0.6153843999999999
target_CHEMBL240,None,MLP,1,CV,2,0.9568998695725939
target_CHEMBL240,None,MLP,2,CV,2,0.7517699102293878
target_CHEMBL240,None,MLP,3,CV,1,1.1288814321491918
target_CHEMBL240,None,MLP,4,CV,3,1.6476371963837266
target_CHEMBL240,None,MLP,5,CV,3,1.2298834292094467
target_CHEMBL240,None,MLP,6,CV,1,1.9539613340653261
target_CHEMBL240,None,MLP,7,CV,2,1.2183717699494616
target_CHEMBL240,None,MLP,8,CV,5,1.1530272955377954
target_CHEMBL240,None,MLP,9,CV,4,1.323900827710493
target_CHEMBL240,None,MLP,10,CV,1,1.475217731639475
target_CHEMBL260,None,RF,1,CV,0,0.0
target_CHEMBL260,None,RF,2,CV,1,1.0126
target_CHEMBL260,None,RF,3,CV,4,0.9825499999999994
target_CHEMBL260,None,RF,4,CV,4,1.1969500000000002
target_CHEMBL260,None,RF,5,CV,3,1.2480666666666673
target_CHEMBL260,None,RF,6,CV,2,0.3836000000000013
target_CHEMBL260,None,RF,7,CV,1,0.6359999999999992
target_CHEMBL260,None,RF,8,CV,3,0.5061999999999994
target_CHEMBL260,None,RF,9,CV,3,0.9046666666666683
target_CHEMBL260,None,RF,10,CV,2,0.7187999999999986
target_CHEMBL260,None,xgboost,1,CV,0,0.0
target_CHEMBL260,None,xgboost,2,CV,1,1.4785643000000004
target_CHEMBL260,None,xgboost,3,CV,4,0.9427004249999997
target_CHEMBL260,None,xgboost,4,CV,4,1.1711614
target_CHEMBL260,None,xgboost,5,CV,3,1.5592945666666669
target_CHEMBL260,None,xgboost,6,CV,2,0.34034414999999996
target_CHEMBL260,None,xgboost,7,CV,1,0.46607600000000016
target_CHEMBL260,None,xgboost,8,CV,3,0.7217628666666668
target_CHEMBL260,None,xgboost,9,CV,3,0.5415514666666663
target_CHEMBL260,None,xgboost,10,CV,2,0.7072596999999998
target_CHEMBL260,None,MLP,1,CV,0,0.0
target_CHEMBL260,None,MLP,2,CV,1,2.2877500496885155
target_CHEMBL260,None,MLP,3,CV,4,1.2415831045685375
target_CHEMBL260,None,MLP,4,CV,4,0.33538927833202825
target_CHEMBL260,None,MLP,5,CV,3,0.6299698690474692
target_CHEMBL260,None,MLP,6,CV,2,0.5549749043604271
target_CHEMBL260,None,MLP,7,CV,1,0.04800711838614724
target_CHEMBL260,None,MLP,8,CV,3,0.43484210025348585
target_CHEMBL260,None,MLP,9,CV,3,0.6098510314061123
target_CHEMBL260,None,MLP,10,CV,2,0.5574147966398941
target_CHEMBL279,None,RF,1,CV,4,1.3075999999999983
target_CHEMBL279,None,RF,2,CV,4,0.4176000000000002
target_CHEMBL279,None,RF,3,CV,4,1.2316500000000004
target_CHEMBL279,None,RF,4,CV,1,0.6539999999999999
target_CHEMBL279,None,RF,5,CV,6,1.154133333333334
target_CHEMBL279,None,RF,6,CV,3,0.9642000000000012
target_CHEMBL279,None,RF,7,CV,4,0.37760000000000016
target_CHEMBL279,None,RF,8,CV,3,0.8600666666666662
target_CHEMBL279,None,RF,9,CV,2,0.8153999999999999
target_CHEMBL279,None,RF,10,CV,3,1.329066666666666
target_CHEMBL279,None,xgboost,1,CV,4,1.1725268499999997
target_CHEMBL279,None,xgboost,2,CV,4,0.5559543999999998
target_CHEMBL279,None,xgboost,3,CV,4,0.9209347749999999
target_CHEMBL279,None,xgboost,4,CV,1,1.2457387000000004
target_CHEMBL279,None,xgboost,5,CV,6,1.2270739666666666
target_CHEMBL279,None,xgboost,6,CV,3,1.0073410999999999
target_CHEMBL279,None,xgboost,7,CV,4,0.394635525
target_CHEMBL279,None,xgboost,8,CV,3,0.9926310666666666
target_CHEMBL279,None,xgboost,9,CV,2,0.907804
target_CHEMBL279,None,xgboost,10,CV,3,1.091362233333333
target_CHEMBL279,None,MLP,1,CV,4,1.3857852401602548
target_CHEMBL279,None,MLP,2,CV,4,0.3994205292609716
target_CHEMBL279,None,MLP,3,CV,4,1.9600759965411636
target_CHEMBL279,None,MLP,4,CV,1,0.6440175560672801
target_CHEMBL279,None,MLP,5,CV,6,1.4426269359756165
target_CHEMBL279,None,MLP,6,CV,3,0.833561578786167
target_CHEMBL279,None,MLP,7,CV,4,0.6274653263868557
target_CHEMBL279,None,MLP,8,CV,3,1.0708304943207942
target_CHEMBL279,None,MLP,9,CV,2,0.2295700946278476
target_CHEMBL279,None,MLP,10,CV,3,1.8140347752894226
