Target,Variable,Method,Batch,evalt,Low Similarity Count,Novelty Error
target_CHEMBL240,None,RF,1,scaffold_CV,9,2.9458000000000006
target_CHEMBL240,None,RF,2,scaffold_CV,55,0.38900363636363633
target_CHEMBL240,None,RF,3,scaffold_CV,9,0.358266666666666
target_CHEMBL240,None,RF,4,scaffold_CV,4,0.5978999999999999
target_CHEMBL240,None,RF,5,scaffold_CV,2,0.10399999999999876
target_CHEMBL240,None,RF,6,scaffold_CV,5,0.5329599999999999
target_CHEMBL240,None,RF,7,scaffold_CV,5,0.5244399999999999
target_CHEMBL240,None,RF,8,scaffold_CV,21,0.7250476190476188
target_CHEMBL240,None,RF,9,scaffold_CV,7,1.1028000000000002
target_CHEMBL240,None,RF,10,scaffold_CV,10,0.9245599999999999
target_CHEMBL240,None,xgboost,1,scaffold_CV,9,2.998973544444445
target_CHEMBL240,None,xgboost,2,scaffold_CV,55,0.3508547890909092
target_CHEMBL240,None,xgboost,3,scaffold_CV,9,0.3819090888888889
target_CHEMBL240,None,xgboost,4,scaffold_CV,4,0.7909317
target_CHEMBL240,None,xgboost,5,scaffold_CV,2,0.33855799999999947
target_CHEMBL240,None,xgboost,6,scaffold_CV,5,0.15340808000000017
target_CHEMBL240,None,xgboost,7,scaffold_CV,5,0.5724990199999999
target_CHEMBL240,None,xgboost,8,scaffold_CV,21,0.6440400714285714
target_CHEMBL240,None,xgboost,9,scaffold_CV,7,1.1783721999999999
target_CHEMBL240,None,xgboost,10,scaffold_CV,10,0.6274544900000001
target_CHEMBL240,None,MLP,1,scaffold_CV,9,2.338818050158944
target_CHEMBL240,None,MLP,2,scaffold_CV,55,0.7612499822979458
target_CHEMBL240,None,MLP,3,scaffold_CV,9,0.558803117879177
target_CHEMBL240,None,MLP,4,scaffold_CV,4,0.6290205720613371
target_CHEMBL240,None,MLP,5,scaffold_CV,2,0.45860422428503345
target_CHEMBL240,None,MLP,6,scaffold_CV,5,0.9247751728784458
target_CHEMBL240,None,MLP,7,scaffold_CV,5,1.760505475401566
target_CHEMBL240,None,MLP,8,scaffold_CV,21,0.7953814576742297
target_CHEMBL240,None,MLP,9,scaffold_CV,7,1.2130189099484183
target_CHEMBL240,None,MLP,10,scaffold_CV,10,1.2749260671114826
target_CHEMBL260,None,RF,1,scaffold_CV,45,0.7511377777777777
target_CHEMBL260,None,RF,2,scaffold_CV,18,0.9065333333333339
target_CHEMBL260,None,RF,3,scaffold_CV,58,0.8945931034482763
target_CHEMBL260,None,RF,4,scaffold_CV,8,1.1118250000000003
target_CHEMBL260,None,RF,5,scaffold_CV,8,1.2367749999999995
target_CHEMBL260,None,RF,6,scaffold_CV,8,0.5055500000000006
target_CHEMBL260,None,RF,7,scaffold_CV,8,0.8501500000000005
target_CHEMBL260,None,RF,8,scaffold_CV,5,0.6212800000000008
target_CHEMBL260,None,RF,9,scaffold_CV,7,0.8948571428571427
target_CHEMBL260,None,RF,10,scaffold_CV,9,1.0513555555555558
target_CHEMBL260,None,xgboost,1,scaffold_CV,45,1.0362501711111112
target_CHEMBL260,None,xgboost,2,scaffold_CV,18,0.9959288999999999
target_CHEMBL260,None,xgboost,3,scaffold_CV,58,0.9309563051724136
target_CHEMBL260,None,xgboost,4,scaffold_CV,8,0.9726393499999999
target_CHEMBL260,None,xgboost,5,scaffold_CV,8,1.0976661125000002
