Target,Variable,Method,Batch,evalt,Low Similarity Count,Novelty Error
target_CHEMBL240,logp,RF,1,sorted_fcv,18,0.5309343434343435
target_CHEMBL240,logp,RF,2,sorted_fcv,14,0.6771651785714284
target_CHEMBL240,logp,RF,3,sorted_fcv,33,1.1790749601275918
target_CHEMBL240,logp,RF,4,sorted_fcv,27,0.6090067340067338
target_CHEMBL240,logp,RF,5,sorted_fcv,19,0.7833789473684207
target_CHEMBL240,logp,RF,6,sorted_fcv,9,0.8485333333333327
target_CHEMBL240,logp,RF,7,sorted_fcv,16,0.6556875
target_CHEMBL240,logp,RF,8,sorted_fcv,3,0.2840666666666672
target_CHEMBL240,logp,RF,9,sorted_fcv,31,1.3363225806451615
target_CHEMBL240,logp,xgboost,1,sorted_fcv,18,0.5625775666666667
target_CHEMBL240,logp,xgboost,2,sorted_fcv,14,0.6906863571428573
target_CHEMBL240,logp,xgboost,3,sorted_fcv,33,1.0721037363636365
target_CHEMBL240,logp,xgboost,4,sorted_fcv,27,0.6553383592592591
target_CHEMBL240,logp,xgboost,5,sorted_fcv,19,0.8073011315789472
target_CHEMBL240,logp,xgboost,6,sorted_fcv,9,0.7786110444444445
target_CHEMBL240,logp,xgboost,7,sorted_fcv,16,0.6963996375
target_CHEMBL240,logp,xgboost,8,sorted_fcv,3,0.3584492000000002
target_CHEMBL240,logp,xgboost,9,sorted_fcv,31,1.1805836193548387
target_CHEMBL240,logp,MLP,1,sorted_fcv,18,1.9938651589928709
target_CHEMBL240,logp,MLP,2,sorted_fcv,14,0.8021065771688366
target_CHEMBL240,logp,MLP,3,sorted_fcv,33,1.93963351416711
target_CHEMBL240,logp,MLP,4,sorted_fcv,27,1.0388312004217655
target_CHEMBL240,logp,MLP,5,sorted_fcv,19,1.1651179038481079
target_CHEMBL240,logp,MLP,6,sorted_fcv,9,0.8771247004893588
target_CHEMBL240,logp,MLP,7,sorted_fcv,16,1.1004940849380223
target_CHEMBL240,logp,MLP,8,sorted_fcv,3,1.0979428969696492
target_CHEMBL240,logp,MLP,9,sorted_fcv,31,0.824711508884853
target_CHEMBL260,logp,RF,1,sorted_fcv,35,1.1966904761904769
target_CHEMBL260,logp,RF,2,sorted_fcv,25,1.0862235294117644
target_CHEMBL260,logp,RF,3,sorted_fcv,18,0.8342460317460315
target_CHEMBL260,logp,RF,4,sorted_fcv,12,0.9272743055555553
target_CHEMBL260,logp,RF,5,sorted_fcv,17,0.6955058823529411
target_CHEMBL260,logp,RF,6,sorted_fcv,17,0.8566235294117645
target_CHEMBL260,logp,RF,7,sorted_fcv,14,0.7991285714285711
target_CHEMBL260,logp,RF,8,sorted_fcv,23,0.7642173913043477
target_CHEMBL260,logp,RF,9,sorted_fcv,31,0.8935548387096782
target_CHEMBL260,logp,xgboost,1,sorted_fcv,35,1.187387902857143
target_CHEMBL260,logp,xgboost,2,sorted_fcv,25,1.2767960600000001
target_CHEMBL260,logp,xgboost,3,sorted_fcv,18,0.9067070555555554
target_CHEMBL260,logp,xgboost,4,sorted_fcv,12,1.0130887499999996
target_CHEMBL260,logp,xgboost,5,sorted_fcv,17,0.7062168529411766
target_CHEMBL260,logp,xgboost,6,sorted_fcv,17,0.8685465470588235
target_CHEMBL260,logp,xgboost,7,sorted_fcv,14,0.7427264285714285
target_CHEMBL260,logp,xgboost,8,sorted_fcv,23,0.7580625347826088
target_CHEMBL260,logp,xgboost,9,sorted_fcv,31,0.8375088935483872
target_CHEMBL260,logp,MLP,1,sorted_fcv,35,1.0066750156047208
target_CHEMBL260,logp,MLP,2,sorted_fcv,25,2.3465564305885436
target_CHEMBL260,logp,MLP,3,sorted_fcv,18,0.8603855406470594
target_CHEMBL260,logp,MLP,4,sorted_fcv,12,1.3999060521121323
target_CHEMBL260,logp,MLP,5,sorted_fcv,17,1.2321287134985421
target_CHEMBL260,logp,MLP,6,sorted_fcv,17,1.4172664804815904
target_CHEMBL260,logp,MLP,7,sorted_fcv,14,1.0470665906120307
target_CHEMBL260,logp,MLP,8,sorted_fcv,23,0.8796157500347352
target_CHEMBL260,logp,MLP,9,sorted_fcv,31,0.6441720547924481
target_CHEMBL279,logp,RF,1,sorted_fcv,38,0.9951113360323888
target_CHEMBL279,logp,RF,2,sorted_fcv,31,1.0452150537634413
target_CHEMBL279,logp,RF,3,sorted_fcv,19,0.6431818181818179
target_CHEMBL279,logp,RF,4,sorted_fcv,13,0.859594871794872
target_CHEMBL279,logp,RF,5,sorted_fcv,16,0.5959049999999999
target_CHEMBL279,logp,RF,6,sorted_fcv,16,0.8847375000000004
target_CHEMBL279,logp,RF,7,sorted_fcv,17,0.8668039215686275
target_CHEMBL279,logp,RF,8,sorted_fcv,31,0.9687290322580646
target_CHEMBL279,logp,RF,9,sorted_fcv,53,0.7894867924528302
target_CHEMBL279,logp,xgboost,1,sorted_fcv,38,1.0231562315789475
target_CHEMBL279,logp,xgboost,2,sorted_fcv,31,1.0868211774193548
target_CHEMBL279,logp,xgboost,3,sorted_fcv,19,0.7004833894736842
target_CHEMBL279,logp,xgboost,4,sorted_fcv,13,0.8252486923076923
target_CHEMBL279,logp,xgboost,5,sorted_fcv,16,0.59304294375
target_CHEMBL279,logp,xgboost,6,sorted_fcv,16,0.8926615499999998
target_CHEMBL279,logp,xgboost,7,sorted_fcv,17,0.8254559941176473
target_CHEMBL279,logp,xgboost,8,sorted_fcv,31,0.9845916451612903
target_CHEMBL279,logp,xgboost,9,sorted_fcv,53,0.7677964679245282
target_CHEMBL279,logp,MLP,1,sorted_fcv,38,1.1441938552341644
target_CHEMBL279,logp,MLP,2,sorted_fcv,31,1.4909565505433229
target_CHEMBL279,logp,MLP,3,sorted_fcv,19,1.5094975736793435
target_CHEMBL279,logp,MLP,4,sorted_fcv,13,1.2725473261514109
target_CHEMBL279,logp,MLP,5,sorted_fcv,16,1.1924871703835513
target_CHEMBL279,logp,MLP,6,sorted_fcv,16,1.480092112297939
target_CHEMBL279,logp,MLP,7,sorted_fcv,17,1.067456407656295
target_CHEMBL279,logp,MLP,8,sorted_fcv,31,1.3592608825194357
target_CHEMBL279,logp,MLP,9,sorted_fcv,53,1.4825916435175415
