Target,Variable,Method,Batch,evalt,Low Similarity Count,Novelty Error
target_CHEMBL240,None,RF,1,unsorted_fcv,53,0.5914065180102914
target_CHEMBL240,None,RF,2,unsorted_fcv,37,0.36780405405405386
target_CHEMBL240,None,RF,3,unsorted_fcv,42,0.5862531328320802
target_CHEMBL240,None,RF,4,unsorted_fcv,23,0.5927964426877462
target_CHEMBL240,None,RF,5,unsorted_fcv,13,0.9274461538461535
target_CHEMBL240,None,RF,6,unsorted_fcv,13,0.3947846153846154
target_CHEMBL240,None,RF,7,unsorted_fcv,10,0.55322
target_CHEMBL240,None,RF,8,unsorted_fcv,11,0.8259090909090905
target_CHEMBL240,None,RF,9,unsorted_fcv,12,0.8506333333333336
target_CHEMBL240,None,xgboost,1,unsorted_fcv,53,0.5468535339622641
target_CHEMBL240,None,xgboost,2,unsorted_fcv,37,0.35853582162162173
target_CHEMBL240,None,xgboost,3,unsorted_fcv,42,0.570467630952381
target_CHEMBL240,None,xgboost,4,unsorted_fcv,23,0.2943208608695653
target_CHEMBL240,None,xgboost,5,unsorted_fcv,13,0.8593867692307693
target_CHEMBL240,None,xgboost,6,unsorted_fcv,13,0.3703423230769231
target_CHEMBL240,None,xgboost,7,unsorted_fcv,10,0.5435722099999999
target_CHEMBL240,None,xgboost,8,unsorted_fcv,11,0.9453494636363637
target_CHEMBL240,None,xgboost,9,unsorted_fcv,12,0.7882928083333333
target_CHEMBL240,None,MLP,1,unsorted_fcv,53,1.5293056689761215
target_CHEMBL240,None,MLP,2,unsorted_fcv,37,0.9889783950390533
target_CHEMBL240,None,MLP,3,unsorted_fcv,42,1.0623637372507748
target_CHEMBL240,None,MLP,4,unsorted_fcv,23,0.32532097672612464
target_CHEMBL240,None,MLP,5,unsorted_fcv,13,1.397864354294949
target_CHEMBL240,None,MLP,6,unsorted_fcv,13,0.5307523059613192
target_CHEMBL240,None,MLP,7,unsorted_fcv,10,1.1066176353872517
target_CHEMBL240,None,MLP,8,unsorted_fcv,11,1.3206816414783054
target_CHEMBL240,None,MLP,9,unsorted_fcv,12,1.0025017325539742
target_CHEMBL260,None,RF,1,unsorted_fcv,38,0.880581140350877
target_CHEMBL260,None,RF,2,unsorted_fcv,19,0.9427554179566561
target_CHEMBL260,None,RF,3,unsorted_fcv,9,0.8200529100529105
target_CHEMBL260,None,RF,4,unsorted_fcv,7,1.294345238095238
target_CHEMBL260,None,RF,5,unsorted_fcv,5,1.04768
target_CHEMBL260,None,RF,6,unsorted_fcv,3,0.9682666666666645
target_CHEMBL260,None,RF,7,unsorted_fcv,4,0.3801000000000003
target_CHEMBL260,None,RF,8,unsorted_fcv,1,0.19720000000000049
target_CHEMBL260,None,RF,9,unsorted_fcv,5,0.782279999999999
target_CHEMBL260,None,xgboost,1,unsorted_fcv,38,0.9677715105263156
target_CHEMBL260,None,xgboost,2,unsorted_fcv,19,0.8288455473684211
target_CHEMBL260,None,xgboost,3,unsorted_fcv,9,0.8563459999999999
target_CHEMBL260,None,xgboost,4,unsorted_fcv,7,1.3303463142857144
target_CHEMBL260,None,xgboost,5,unsorted_fcv,5,0.9150826000000001
target_CHEMBL260,None,xgboost,6,unsorted_fcv,3,1.2312538999999998
target_CHEMBL260,None,xgboost,7,unsorted_fcv,4,0.36568345000000013
target_CHEMBL260,None,xgboost,8,unsorted_fcv,1,0.5728634000000001
target_CHEMBL260,None,xgboost,9,unsorted_fcv,5,0.7547016199999999
target_CHEMBL260,None,MLP,1,unsorted_fcv,38,1.4673666235514091
target_CHEMBL260,None,MLP,2,unsorted_fcv,19,1.0506124062896773
target_CHEMBL260,None,MLP,3,unsorted_fcv,9,0.8677517893928878
target_CHEMBL260,None,MLP,4,unsorted_fcv,7,0.7124820512680411
target_CHEMBL260,None,MLP,5,unsorted_fcv,5,0.6940249805347033
target_CHEMBL260,None,MLP,6,unsorted_fcv,3,2.1227374232599585
target_CHEMBL260,None,MLP,7,unsorted_fcv,4,1.138183037271909
target_CHEMBL260,None,MLP,8,unsorted_fcv,1,0.35525822030081944
target_CHEMBL260,None,MLP,9,unsorted_fcv,5,0.7642125037034573
target_CHEMBL279,None,RF,1,unsorted_fcv,49,0.8814050235478806
target_CHEMBL279,None,RF,2,unsorted_fcv,31,0.8292323775388294
target_CHEMBL279,None,RF,3,unsorted_fcv,13,0.5115034965034962
target_CHEMBL279,None,RF,4,unsorted_fcv,7,0.553542857142857
target_CHEMBL279,None,RF,5,unsorted_fcv,6,0.9110333333333328
target_CHEMBL279,None,RF,6,unsorted_fcv,2,1.0404000000000004
target_CHEMBL279,None,RF,7,unsorted_fcv,7,1.006285714285714
target_CHEMBL279,None,RF,8,unsorted_fcv,1,1.6439999999999984
target_CHEMBL279,None,RF,9,unsorted_fcv,4,0.857599999999999
target_CHEMBL279,None,xgboost,1,unsorted_fcv,49,0.8804566510204083
target_CHEMBL279,None,xgboost,2,unsorted_fcv,31,0.7826930354838708
target_CHEMBL279,None,xgboost,3,unsorted_fcv,13,0.5763682307692307
target_CHEMBL279,None,xgboost,4,unsorted_fcv,7,0.8506360142857143
target_CHEMBL279,None,xgboost,5,unsorted_fcv,6,0.8617253333333332
target_CHEMBL279,None,xgboost,6,unsorted_fcv,2,0.8922024999999998
target_CHEMBL279,None,xgboost,7,unsorted_fcv,7,1.084144614285714
target_CHEMBL279,None,xgboost,8,unsorted_fcv,1,1.3367549999999992
target_CHEMBL279,None,xgboost,9,unsorted_fcv,4,0.5772505499999998
target_CHEMBL279,None,MLP,1,unsorted_fcv,49,1.069472929759296
target_CHEMBL279,None,MLP,2,unsorted_fcv,31,1.1152308656782242
target_CHEMBL279,None,MLP,3,unsorted_fcv,13,0.8609409315208137
target_CHEMBL279,None,MLP,4,unsorted_fcv,7,0.9091516401901266
target_CHEMBL279,None,MLP,5,unsorted_fcv,6,1.342941577100275
target_CHEMBL279,None,MLP,6,unsorted_fcv,2,0.5752629149943305
target_CHEMBL279,None,MLP,7,unsorted_fcv,7,0.7434313848769202
target_CHEMBL279,None,MLP,8,unsorted_fcv,1,1.6315563060436418
target_CHEMBL279,None,MLP,9,unsorted_fcv,4,1.4405171317034096
