training batch,Standardized_SMILES,y_true,y_preds,LogP
1,CCCCCCC(O)CC=CCCCCCCCOC(=O)OCCOCC(COCCOC(=O)OCCCCCCCC=CCC(O)CCCCCC)OCCOC(=O)OCCCCCCCC=CCC(O)CCCCCC,-22.0,-9.561249,15.718999999999964
1,CCCCCCC(O)CC=CCCCCCCCC(=O)OCCN(CCOC(=O)CCCCCCCC=CCC(O)CCCCCC)CCOC(=O)CCCCCCCC=CCC(O)CCCCCC,60.8,41.953426,14.942899999999968
1,CC(C)CCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC(C)C)c(C(=O)OCCCCCCCC(C)C)c1,43.0,14.213502,11.14679999999999
1,CC(C)CCCCCCOC(=O)c1ccc(C(=O)OCCCCCCC(C)C)c(C(=O)OCCCCCCC(C)C)c1,3.2,14.213502,9.976499999999998
1,CCCCC(CC)COC(=O)c1c(Br)c(Br)c(Br)c(Br)c1C(=O)OCC(CC)CCCC,32.4,26.72966,9.482999999999995
1,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,101.9,81.57909,9.3187
1,CCCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC)c(C(=O)OCCCCCCCC)c1,3.3,16.124063,9.238500000000002
1,CCCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCC(CCC)C(CC)CCC,6.1,5.7658515,9.163700000000002
1,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,-3.7,3.1435702,9.059960000000002
1,CCC1CC(N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(C)=O)c2cc(C(F)(F)F)ccc2N1C(=O)OC(C)C,41.7,46.035866,8.366500000000004
1,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,-5.7,10.647304,7.993400000000009
1,O=C(CCCCCCCCc1cccnc1)N1CCC(C=C(c2ccccc2)c2ccccc2)CC1,-38.3,-30.702936,7.725300000000009
1,CCN=C1C=CC(=C(c2ccc(N(CC)CC)cc2)c2ccc(N(CC)CC)cc2)c2ccccc21,110.3,98.35675,7.716900000000009
1,CC(C)CCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC(C)C,4.6,8.618076,7.62640000000001
1,CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,28.0,18.634375,7.501400000000008
1,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,13.4,10.647304,7.213200000000008
1,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)O)cc4)cc3)c(S(=O)(=O)O)cc2c1)c1ccccc1,103.4,100.635605,7.121900000000006
1,CC(C)CCCCCCOC(=O)C1CCCCC1C(=O)OCCCCCCC(C)C,-35.9,-23.99388,7.092200000000009
1,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,48.4,45.474228,6.936200000000007
1,CCCCCCCCCCC(CO)CCCCCCCC,14.0,14.989014,6.8763000000000085
1,CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C,-3.7,8.618076,6.8462000000000085
1,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,15.1,18.634375,6.721200000000008
1,CCCCSP(=O)(SCCCC)SCCCC,51.2,45.523495,6.694400000000005
1,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,47.1,42.14084,6.679980000000006
1,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,54.8,54.50003,6.662420000000005
1,CCCCCCCCC=CCCCCCCCC(=O)OCC,17.7,30.20783,6.587000000000008
1,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,57.4,57.135555,6.543980000000005
1,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1F,20.0,39.29612,6.530300000000002
1,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,14.9,20.373997,6.495500000000002
1,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,22.5,26.943695,6.495500000000002
1,CCCCCCCCCCCCCCCC,10.1,14.175244,6.487600000000007
1,CCCCCCCCCCCCCCCS(=O)(=O)Oc1ccccc1,6.5,22.88468,6.486400000000007
1,CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,53.1,50.90368,6.485500000000006
1,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,105.8,100.38157,6.4737000000000045
1,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,5.6,16.186718,6.433000000000007
1,CCn1nc(Cc2ccccc2)cc1C1CCN(CC2CC(N(C)C(C(=O)O)C(C)C)CC2c2cccc(F)c2)CC1,9.6,10.976457,6.415700000000007
1,CCc1cc(Cc2cc(CC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,39.3,45.862362,6.408400000000008
1,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,51.7,46.85326,6.372000000000006
1,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,101.4,89.963036,6.351000000000003
1,CCN=c1cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C,91.8,86.88842,6.350540000000006
1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,48.1,48.88318,6.317080000000003
1,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,63.0,59.074104,6.313600000000008
1,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,63.7,61.268417,6.256760000000005
1,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,17.6,28.93432,6.222999999999999
1,Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1,100.1,96.4194,6.203600000000004
1,CC(C)CCCCCCCCCCCCCCC(=O)O,103.9,83.03336,6.188400000000006
1,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,23.8,39.65252,6.187900000000003
1,CCCCCCCCCCCCc1ccccc1,-13.6,5.933401,6.150000000000007
1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,30.4,34.18123,6.113300000000004
1,CCCCCCCCC=CCCCCCCCC(=O)O,98.2,74.08693,6.108500000000007
1,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,86.4,65.53276,6.105500000000001
1,CCCCCCCCCCCCCCC,4.7,14.175244,6.097500000000006
1,CC(C)CCCCCOC(=O)CCCCC(=O)OCCCCCC(C)C,21.0,8.618076,6.066000000000007
1,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,-0.4,10.55492,6.066000000000007
1,CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1,97.6,93.362976,6.044000000000007
1,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1,105.2,91.643135,6.037300000000004
1,CCCCCC(=O)OC1(C(C)=O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,29.0,22.04499,5.969600000000007
1,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,6.1,24.65457,5.948600000000006
1,CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=O)C=C2S(=O)(=O)O)c2ccc(N(CC)Cc3cccc(S(=O)(=O)O)c3)cc2)cc1,56.9,59.304813,5.945500000000006
1,CCC(C)(C)C(=O)OC1=C(c2ccc(Cl)cc2Cl)C(=O)OC12CCCCC2,42.6,50.514122,5.943600000000005
1,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,19.9,24.84562,5.929000000000002
1,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,28.0,25.735064,5.929000000000002
1,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,52.3,50.722565,5.900440000000007
1,CCCCCC=CCC=CCCCCCCCC(=O)O,74.5,72.16223,5.884500000000005
1,CCCCCCCCCCCCc1ccc(O)cc1,100.05,84.1798,5.855600000000006
1,CCCCCCC(CCCCCCCCCCC(=O)OCC(COC(C)=O)OC(C)=O)OC(C)=O,21.2,14.224977,5.827500000000006
1,O=C(NC(c1ccccc1)C1CN2CCC1CC2)c1c(Cl)ccc(C(F)(F)F)c1Cl,-45.0,-38.251755,5.825100000000004
1,CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,97.1,93.76208,5.7691000000000034
1,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,102.9,89.963036,5.715700000000002
1,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,62.6,56.855183,5.682800000000001
1,CCCCCCCCCCCCCC(=O)OC(C)C,7.8,22.708752,5.639100000000005
1,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,101.6,83.51453,5.630000000000004
1,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,21.4,24.27204,5.619500000000003
1,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,64.6,57.78391,5.599500000000002
1,CCCCCCCCC=CCCCCCCCC(=O)OCCO,53.8,38.78742,5.559400000000006
1,CCCCCCCCCCCCCCCC(=O)O,53.4,69.8211,5.552300000000005
1,CCCC(CC)COC(=O)CCCCCC(=O)OCC(C)C(C)CC,11.6,13.054126,5.531800000000006
1,Cc1oc2c(NC(=O)c3c(Cl)cccc3Cl)cccc2c1C(C)(C)O,102.1,81.21894,5.527720000000004
1,C=CCCCCCCCCCCCC,9.6,14.175244,5.483400000000005
1,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1,-18.9,-1.093507,5.470200000000001
1,CCCCCCCCCCCCCCCCO,-22.4,-3.5532603,5.460000000000006
1,CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],59.8,59.36816,5.458000000000003
1,CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F,94.6,73.92901,5.455480000000002
1,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,26.9,39.393734,5.450300000000004
1,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1N=c1[nH]cc(C(F)(F)F)cc1Cl,108.7,97.523926,5.4079000000000015
1,CCCCCCCCCC[N+](C)(C)Cc1ccccc1,-8.5,2.8803852,5.403700000000006
1,CCCCc1ccc2c(n1)C(c1ccc(OC)cc1CC(C)C(=O)O)C(C(=O)O)C2c1ccc2c(c1)OCO2,69.3,64.116905,5.402900000000004
1,CCCCCCCCCCCCc1cccc(S(=O)(=O)O)c1,101.8,86.90248,5.396700000000005
1,CCCCCCCCCCCCc1ccccc1S(=O)(=O)O,103.9,88.26295,5.396700000000005
1,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,45.8,42.138306,5.378200000000002
1,Cc1nc(-c2ccc3c(c2)CCN(CCC2CCC(NC(=O)C=Cc4ccc(F)cc4)CC2)CC3)no1,-24.0,-17.956392,5.3632200000000045
1,CCCCCCCCOc1ccc(C(=O)c2ccccc2)c(O)c1,92.7,85.280846,5.362500000000006
1,CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],61.1,55.497173,5.340800000000003
1,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,79.5,69.57575,5.331500000000003
1,CCOc1cccc(C2(N3CCN(c4ccccc4)CC3)CCC(C)CC2)c1,15.5,17.72178,5.312900000000005
1,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,29.3,35.682964,5.307700000000002
1,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,67.5,62.436237,5.296100000000005
2,CCCCCCC(O)CC=CCCCCCCCOC(=O)OCCOCC(COCCOC(=O)OCCCCCCCC=CCC(O)CCCCCC)OCCOC(=O)OCCCCCCCC=CCC(O)CCCCCC,-22.0,6.111657,15.718999999999964
2,CCCCCCC(O)CC=CCCCCCCCC(=O)OCCN(CCOC(=O)CCCCCCCC=CCC(O)CCCCCC)CCOC(=O)CCCCCCCC=CCC(O)CCCCCC,60.8,36.869713,14.942899999999968
2,CC(C)CCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC(C)C)c(C(=O)OCCCCCCCC(C)C)c1,43.0,16.980705,11.14679999999999
2,CC(C)CCCCCCOC(=O)c1ccc(C(=O)OCCCCCCC(C)C)c(C(=O)OCCCCCCC(C)C)c1,3.2,16.980705,9.976499999999998
2,CCCCC(CC)COC(=O)c1c(Br)c(Br)c(Br)c(Br)c1C(=O)OCC(CC)CCCC,32.4,23.578428,9.482999999999995
2,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,101.9,65.270096,9.3187
2,CCCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC)c(C(=O)OCCCCCCCC)c1,3.3,25.0269,9.238500000000002
2,CCCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCC(CCC)C(CC)CCC,6.1,15.368575,9.163700000000002
2,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,-3.7,16.527996,9.059960000000002
2,CCC1CC(N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(C)=O)c2cc(C(F)(F)F)ccc2N1C(=O)OC(C)C,41.7,38.293694,8.366500000000004
2,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,-5.7,16.263405,7.993400000000009
2,O=C(CCCCCCCCc1cccnc1)N1CCC(C=C(c2ccccc2)c2ccccc2)CC1,-38.3,-9.536448,7.725300000000009
2,CCN=C1C=CC(=C(c2ccc(N(CC)CC)cc2)c2ccc(N(CC)CC)cc2)c2ccccc21,110.3,86.52429,7.716900000000009
2,CC(C)CCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC(C)C,4.6,10.926655,7.62640000000001
2,CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,28.0,24.309595,7.501400000000008
2,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,13.4,16.263405,7.213200000000008
2,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)O)cc4)cc3)c(S(=O)(=O)O)cc2c1)c1ccccc1,103.4,113.131355,7.121900000000006
2,CC(C)CCCCCCOC(=O)C1CCCCC1C(=O)OCCCCCCC(C)C,-35.9,-12.856434,7.092200000000009
2,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,48.4,43.36018,6.936200000000007
2,CCCCCCCCCCC(CO)CCCCCCCC,14.0,28.323359,6.8763000000000085
2,CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C,-3.7,10.926655,6.8462000000000085
2,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,15.1,24.309595,6.721200000000008
2,CCCCSP(=O)(SCCCC)SCCCC,51.2,44.184177,6.694400000000005
2,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,47.1,44.954567,6.679980000000006
2,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,54.8,48.19794,6.662420000000005
2,CCCCCCCCC=CCCCCCCCC(=O)OCC,17.7,41.90932,6.587000000000008
2,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,57.4,47.9437,6.543980000000005
2,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1F,20.0,55.785934,6.530300000000002
2,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,14.9,23.765062,6.495500000000002
2,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,22.5,28.696857,6.495500000000002
2,CCCCCCCCCCCCCCCC,10.1,26.481436,6.487600000000007
2,CCCCCCCCCCCCCCCS(=O)(=O)Oc1ccccc1,6.5,33.091324,6.486400000000007
2,CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,53.1,50.895306,6.485500000000006
2,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,105.8,99.22617,6.4737000000000045
2,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,5.6,20.24294,6.433000000000007
2,CCn1nc(Cc2ccccc2)cc1C1CCN(CC2CC(N(C)C(C(=O)O)C(C)C)CC2c2cccc(F)c2)CC1,9.6,14.878247,6.415700000000007
2,CCc1cc(Cc2cc(CC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,39.3,46.62952,6.408400000000008
2,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,51.7,44.838066,6.372000000000006
2,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,101.4,94.08905,6.351000000000003
2,CCN=c1cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C,91.8,83.268364,6.350540000000006
2,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,48.1,47.9437,6.317080000000003
