training batch,Standardized_SMILES,True Values,Predictions
1,CC(C)c1nnc2ccc(-c3c[nH]nc3-c3cc(F)ccc3F)cn12,8.55,8.328000000000001
1,CC(=O)Nc1cnccc1CCOc1ccc(NC(=O)N=c2cc(C(C)(C)C)[nH]n2-c2ccc(C)cc2)c2ccccc12,8.1,8.0336
1,Cc1ccc(-n2[nH]c(C(C)(C)C)cc2=NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,7.81,7.9860000000000015
1,O=c1ncc2c(-c3ccccc3Cl)cc(C(O)N3CCNCC3)cc2n1-c1c(Cl)cccc1Cl,8.82,8.848399999999998
1,Cn1c(-c2cn(C(C)(C)C(=O)O)nn2)nc(-c2ccc(F)cc2)c1-c1ccncc1,5.83,5.953800000000001
1,Cc1c[nH]c(-c2ccc(C)c(-c3ccc4c(c3)NC(=O)C43CCOCC3)c2)n1,6.76,7.1398
1,CS(=O)(=O)N1CCC(n2c(=O)c(Oc3ccc(F)cc3F)cc3c[nH]c(=NC4CCOCC4)nc32)CC1,9.0,8.7328
1,CC(C)S(=O)(=O)n1c(=N)[nH]c2ccc(-c3[nH]c(-c4c(Cl)cccc4Cl)nc3-c3ccccc3)cc21,7.82,7.865599999999996
1,O=C(Nc1cc(Nc2ccc3c(c2)OCc2cc(OCCN4CCOCC4)ccc2C3=O)ccc1F)c1ccccc1,7.77,8.312000000000001
1,CSc1nc(-c2cc[nH]c(=NC(=O)Cc3ccc(F)cc3)c2)c(-c2ccc(F)cc2)[nH]1,8.05,8.008000000000001
1,[O-][n+]1ccc2c(-c3ccc(F)cc3Cl)cc(-c3ccncc3)nc2c1-c1c(Cl)cccc1Cl,7.54,7.899199999999997
1,CC(=O)N=c1cc(-c2c(-c3ccc(F)cc3)nc(SCCCC(=O)N3CCOCC3)n2CCO)cc[nH]1,5.7,5.610400000000001
1,CNC(=O)c1ccc(C)c(N=c2[nH]cnc3c2cnn3-c2ccccc2F)c1,8.05,8.088799999999999
1,Cc1ccc(F)c(-c2ncoc2-c2ccc3nnc(C(C)C)n3c2)c1,8.37,8.134
1,CCCN=c1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)[nH]cn1,6.4,6.436000000000003
1,COc1ccccc1C(=O)c1cc[n+]([O-])c(-c2ccccc2Cl)c1N,6.83,7.004400000000001
1,Cc1ccccc1-c1c(N)c(C(=O)c2ccccc2)cc[n+]1[O-],6.39,6.560399999999999
1,CN=c1cc(Oc2c(F)cc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2F)[nH]cn1,6.3,6.152000000000002
1,CC(C)Cn1cnc2ccc(-c3[nH]c(-c4c(Cl)cccc4Cl)nc3-c3ccc(F)cc3F)nc21,8.41,8.393199999999998
1,CCOCCOc1ccc(C(=O)Nc2cc(NC(=O)c3cccc(N(C)C)c3)ccc2C)cc1,6.51,6.740599999999998
