training batch,Standardized_SMILES,True Values,Predictions
1,Cn1c(-c2cn(CCOCCOCCOCCOCCOCCOCCOCCO)nn2)nc(-c2ccc(F)cc2)c1-c1ccncc1,4.94,4.982576
1,OCCOCCOCCOCCOCCOCCOCCOCCn1cc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)o2)nn1,4.63,4.982576
1,CCOP(=O)(CCn1cc(-c2ccn3c(-c4ccnc(SC)n4)c(-c4ccc(F)cc4)nc3n2)nn1)OCC,4.92,5.050297
1,C#CCOCCn1c(SCc2ccc([S+](C)[O-])cc2)nc(-c2ccc(F)cc2)c1-c1cc[nH]c(=NC(C)=O)c1,5.3,5.4190598
1,COCCNC(=O)c1cc(CCOc2ccc(NC(=O)N=c3cc(C(C)(C)C)[nH]n3-c3ccc(C)cc3)c3ccccc23)ccn1,7.6,7.473149
1,COCCCn1c(SCc2ccc([S+](C)[O-])cc2)nc(-c2ccc(F)cc2)c1-c1cc[nH]c(=NC(C)=O)c1,5.88,5.9106984
1,COc1cc(CCC(=O)N=c2cc(-c3[nH]c(SCc4ccccc4)nc3-c3ccc(F)cc3)cc[nH]2)cc(OC)c1OC,7.21,7.3151007
1,CCOCCOc1cc(-c2ccccc2Cl)c2cc[n+]([O-])c(-c3c(Cl)cccc3Cl)c2n1,8.05,8.03427
1,O=C(NC(CO)(CO)CO)c1ccc2c(c1)C(=O)c1ccc(Nc3cc(NC(=O)c4cccs4)c(F)cc3F)cc1OC2,8.52,8.583725
1,Cc1ccc(-n2[nH]c(C(C)(C)C)cc2=NC(=O)Nc2ccc(OCc3cc[nH]c(=NC(=O)Cc4ccccc4)c3)c3ccccc23)cc1,8.05,8.124257
1,COCCNC(=O)c1cc(COc2ccc(NC(=O)N=c3cc(C(C)(C)C)[nH]n3-c3ccc(C)cc3)c3ccccc23)ccn1,6.91,7.2921762
1,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2cc[nH]c(=Nc3cc(OC)c(OCCCN4CCN(C)CC4)c(OC)c3)n2)c(OC)c1,6.28,6.3559847
1,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2cc[nH]c(=Nc3ccc(OCCCN4CCCCC4)c(F)c3)n2)c(OC)c1,5.17,5.413816
1,Cc1ccc(-n2[nH]c(C(C)(C)C)cc2=NC(=O)Nc2ccc(OCc3cc[nH]c(=NC(=O)c4ccccc4)c3)c3ccccc23)cc1,7.62,7.8541613
1,COCC(=O)Nc1cnccc1CCOc1ccc(NC(=O)N=c2cc(C(C)(C)C)[nH]n2-c2ccc(C)cc2)c2ccccc12,8.52,8.243597
1,Cc1ccc(-n2[nH]c(C(C)(C)C)cc2=NC(=O)Nc2ccc(OCc3ccnc(C(=O)NCCN4CCOCC4)c3)c3ccccc23)cc1,8.22,8.1481495
1,CC(C)(C)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3cc[n+]([O-])c(-c4c(Cl)cccc4Cl)c3n2)CC1,9.28,9.186615
1,CCOC(=O)C=CSc1nc(-c2ccc(F)cc2)c(-c2cc[nH]c(=NC(C)=O)c2)n1CC(OC)OC,5.66,5.8024583
1,CNS(=O)(=O)Cc1ccc(-n2[nH]c(C(C)(C)C)cc2=NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)cc1,8.15,8.167529
1,COc1ccc(-n2[nH]c(C(C)(C)C)cc2=NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)n(C(C)C)c34)c3ccccc23)cc1,7.96,8.018152
1,[O-][n+]1ccc2c(-c3ccc(F)cc3Cl)cc(-c3ccncc3)nc2c1-c1c(Cl)cccc1Cl,7.54,7.601001
1,[O-][n+]1ccc2c(-c3ccc(F)cc3Cl)cc(-c3cccnc3)nc2c1-c1c(Cl)cccc1Cl,7.85,7.818977
1,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2cc[nH]c(=Nc3ccc(OCCCN4CCN(C)CC4)c(OC)c3)n2)c(OC)c1,5.64,5.6816807
1,CC(C)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3cc[n+]([O-])c(-c4c(Cl)cccc4Cl)c3n2)CC1,9.23,9.186615
1,COCC(=O)N=c1cc(C(C)(C)Oc2ccc(NC(=O)N=c3cc(C(C)(C)C)[nH]n3-c3ccc(C)cc3)c3ccccc23)cc[nH]1,7.42,7.5449305
1,CC(C)(C)c1cc(=NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)n(-c2ccc(Cl)c(Cl)c2)[nH]1,8.4,8.430254
1,CSc1ccc(-n2[nH]c(C(C)(C)C)cc2=NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)cc1,8.3,8.407768
